Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,BB_Middle,BB_Upper,BB_Lower,RSI_14,MACD,MACD_Signal,MACD_Hist
2025-11-18,269.48932037088264,270.2079864201871,264.8279974843966,266.9440612792969,45677300,268.1339401245117,256.490969543457,266.8154291333549,256.82777497859803,268.1339401245117,276.6861237161107,259.58175653291266,54.57,4.086537084168754,5.067732640788006,-0.9811955566192525
2025-11-19,265.0375710636542,271.7051756343288,265.00762791735707,268.06195068359375,40424500,268.65099334716797,257.32920440673826,266.93414547147285,257.26833088859786,268.65099334716797,275.6643770977161,261.6376095966198,56.41,3.712979700811502,4.796782052792706,-1.0838023519812037
2025-11-20,270.327749378444,274.91922505965954,265.42688147061517,265.7562561035156,45823600,268.99642181396484,258.05670837402346,266.8219655316674,257.60119070094754,268.99642181396484,274.49339011825066,263.49945350967903,51.75,3.1940633262568667,4.476238307485538,-1.2821749812286711
2025-11-21,265.4568071090486,272.8230952896135,265.17732758833057,270.98651123046875,59030800,269.4418197631836,258.8082452392578,267.21858893155326,258.126105231517,269.4418197631836,273.9295829481655,264.95405657820174,59.85,3.1683336602943086,4.214657378047292,-1.0463237177529834
2025-11-24,270.397615191446,276.4863089537433,270.397615191446,275.4083251953125,65585800,269.8096527099609,259.5957669067383,267.998563813816,258.80383934774426,269.8096527099609,274.9727959018575,264.6465095180643,65.17,3.4648060199374413,4.064687106425322,-0.5998810864878807
2025-11-25,274.75953066216096,279.8600705608694,274.73957871594786,276.4563903808594,46914200,270.2204162597656,260.3753317260742,268.8040711059154,259.4960962510037,270.2204162597656,276.1136776603049,264.3271548592263,66.31,3.7412063048873847,3.9999909461177348,-0.25878464123035005
2025-11-26,276.44637611579356,279.01161742605893,276.1170014953278,277.0352783203125,33431400,270.62522277832034,261.1497213745117,269.58799560252464,260.1839073125452,270.62522277832034,277.21857425039616,264.0318713062445,66.96,3.961303499891244,3.992253456872437,-0.030949956981193072
2025-11-28,276.7458380127342,278.4826014787427,275.4781737009374,278.3328857421875,20135600,271.01015014648436,261.9722009277344,270.4208422824925,260.8956319568449,271.01015014648436,278.4502682971903,263.57003199577844,68.41,4.192114105130543,4.032225586524058,0.15988851860648445
2025-12-01,277.4944549964911,282.89442609469603,275.62792768573877,282.57501220703125,46587700,271.65853729248045,262.72755310058596,271.5783822753057,261.745803731362,271.65853729248045,280.67673868755645,262.64033589740444,72.66,4.66357849554629,4.158496168328504,0.5050823272177851
2025-12-02,282.47518456741903,286.86701880065203,282.10587559562896,285.6592712402344,53669500,272.526953125,263.3335873413086,272.9194193195846,262.6835867709256,272.526953125,283.34511338851297,261.708792861487,75.26,5.225850992161156,4.371967133095035,0.8538838590661211
2025-12-03,285.6692634925469,288.0847586222564,282.77461708045536,283.623046875,43538700,273.24419555664065,263.93180389404296,273.93881242010036,263.50474206912463,273.24419555664065,285.0155699670149,261.47282114626637,70.49,5.44439016701557,4.586451739879142,0.8579384271364274
2025-12-04,283.5731318378766,284.20196835267484,278.07334059490756,280.179443359375,43989100,273.7842712402344,264.50342864990233,274.5331582238408,264.15865192364424,273.7842712402344,285.79743050833025,261.7711119721385,63.2,5.278862571515276,4.7249339062063695,0.5539286653089066
2025-12-05,280.01974631085085,280.6186397013617,277.53434330937836,278.26300048828125,47265800,274.2469741821289,264.94578155517576,274.88838129664464,264.7117636320614,274.2469741821289,286.1984052071255,262.2955431571323,59.5,4.936139097329317,4.767174944430959,0.16896415289835787
2025-12-08,277.6142094762677,279.15136205700173,275.6378704438954,277.3746643066406,38211800,274.7300765991211,265.39848846435547,275.1251701547395,265.208347972241,274.7300765991211,286.3457755147,263.1143776835422,57.82,4.5405068327242475,4.721841322089617,-0.18133448936536922
2025-12-09,277.64414811825674,279.5106752769474,276.40645748061854,276.66595458984375,32193300,275.11685638427736,265.85756317138674,275.2719115295113,265.65766587881365,275.11685638427736,286.4306590133891,263.8030537551656,56.45,4.122259618571491,4.6019249813859915,-0.4796653628145009
2025-12-10,277.23491184461454,279.2312028389952,275.92734368017386,278.26300048828125,33038300,275.2930282592773,266.34458984375,275.5567771446323,266.15199272624375,275.2930282592773,286.69150700353396,263.8945495150207,58.82,3.8749954099958472,4.456539067107963,-0.5815436571121158
2025-12-11,278.5824273392719,279.07150890817053,273.3022288840155,277.514404296875,33248000,275.52060546875,266.8002908325195,275.7432178257983,266.5975774937195,275.52060546875,286.90493689080915,264.1362740466908,57.24,3.57739332350684,4.280709918387738,-0.7033165948808984
2025-12-12,277.38464634485007,278.70220580092337,276.30666253778065,277.7639465332031,39532900,275.78661041259767,267.227477722168,275.9356681788845,267.0354743187973,275.78661041259767,287.1167307449939,264.45649008020143,57.65,3.32336778373093,4.089241491456377,-0.7658737077254472
2025-12-15,279.63046152672615,279.63046152672615,272.33402020742307,273.6016540527344,50409100,275.87145233154297,267.553669128418,275.71338111925115,267.29297156326544,275.87145233154297,287.1041767788898,264.63872788419616,49.23,2.754437060008968,3.8222806051668954,-1.0678435451579276
2025-12-16,272.3140798989353,274.9891026980292,271.2859911871425,274.1007385253906,37648600,276.22828979492186,267.9163668823242,275.55979611031205,267.5599428166821,276.22828979492186,286.6970185408547,265.75956104898904,50.17,2.31711702573773,3.5212478892810624,-1.2041308635433325
2025-12-17,274.50001118897205,275.6478724530811,271.13626563598973,271.33587646484375,50138700,276.44788055419923,268.2279556274414,275.1575180488389,267.70801864602174,276.44788055419923,286.2603028038023,266.63545830459617,45.18,1.7275226803735109,3.1625028474995522,-1.4349801671260414
2025-12-18,273.1025913325419,273.12257373871984,266.4549687260805,271.68524169921875,51630700,276.6290451049805,268.5150204467773,274.82682506316075,267.8639881775197,276.6290451049805,285.90890151948287,267.3491886904781,45.91,1.2737725119001198,2.784756780379666,-1.5109842684795463
2025-12-19,271.6453053723066,274.09077415448866,269.399477884542,273.1625061035156,144632000,276.99935760498045,268.91180419921875,274.66831849557553,268.07177319422544,276.99935760498045,284.94796180718424,269.05075340277665,49.01,1.021598770995638,2.4321251785028606,-1.4105264075072226
2025-12-22,272.3539780142796,273.37210596231955,270.00836035897595,270.4674987792969,36571800,276.97340698242186,269.4295928955078,274.26824042735853,268.1657232171694,276.97340698242186,285.00759519510126,268.93921876974247,44.05,0.5973982612781583,2.0651797950579205,-1.4677815337797622
2025-12-23,270.3377490962612,271.99467443806464,269.06012395403746,271.85491943359375,29642000,276.7957366943359,269.92746490478515,274.0384003327143,268.3103975785978,276.7957366943359,285.12731208446144,268.4641613042104,47.02,0.36891690829492063,1.7259272177053206,-1.3570103094104
2025-12-24,271.8349404799371,274.9192064044749,271.69521595033444,273.3022155761719,17910600,276.6380279541016,270.4520889282227,273.9682874987579,268.5061551471302,276.6380279541016,285.11479556339145,268.1612603448117,50.01,0.3011569433052159,1.4409731628253,-1.139816219520084
2025-12-26,273.65157518449314,274.859322715931,272.35396775197984,272.8929748535156,21521800,276.43091278076173,270.937216796875,273.8658767706396,268.67818729247864,276.43091278076173,285.0677217578424,267.7941038036811,49.17,0.2119906801150364,1.1951766662832473,-0.9831859861682108
2025-12-29,272.1843267483383,273.8512128461511,271.8449608988494,273.2523498535156,23715200,276.1768859863281,271.46722534179685,273.80744563567544,268.8575662164409,276.1768859863281,284.8767819094433,267.4769900632129,49.96,0.16838331516413518,0.9898179960594249,-0.8214346808952897
2025-12-30,272.304089543875,273.5717234473003,271.77507361210075,272.5735778808594,22139600,275.6768142700195,271.8871319580078,273.6899344209311,269.00329216406516,275.6768142700195,283.96841146026077,267.3852170797783,48.42,0.07815205061558572,0.8074848069706572,-0.7293327563550714
2025-12-31,272.553621806917,273.17246717497864,271.24605357156486,271.3558349609375,27293600,274.9616424560547,272.08424499511716,273.467639234265,269.0955487443347,274.9616424560547,282.0007404005406,267.92254451156873,45.69,-0.09057446707987538,0.6278729521605507,-0.7184474192404261
2026-01-02,271.75509761912826,277.32473598417806,268.5011336129586,270.5074157714844,37838100,274.3058609008789,272.2538189697266,273.18571319019065,269.15091607873273,274.3058609008789,280.3159663256335,268.29575547612427,43.83,-0.2894155833266723,0.4444152450631061,-0.7338308283897783
2026-01-05,270.1381104139889,271.0064921177503,265.6464557026853,266.7643737792969,45647200,273.635107421875,272.43468872070315,272.5741570558198,269.0573261846372,273.635107421875,279.87510315054226,267.3951116932077,36.74,-0.7404948437705343,0.20743322729637806,-0.9479280710669123
2026-01-06,266.504853430471,267.0538212812338,261.6338984265986,261.8734436035156,52352100,272.81562957763674,272.49520385742187,271.5550414889337,268.775605299103,272.81562957763674,280.6082280847703,265.0230310705032,29.93,-1.4756255052203073,-0.12917851920695902,-1.3464469860133483
2026-01-07,262.71190159101934,263.1909919246956,259.32817380451803,259.8471984863281,48309800,271.9392562866211,272.45057678222656,270.44000882201885,268.42547169860205,271.9392562866211,281.3478370733756,262.5306754998666,27.64,-2.1964041182090455,-0.5426236390073763,-1.6537804792016693
2026-01-08,256.5433578451618,258.80916773471864,255.22581364132833,258.55963134765625,50419300,271.03394012451173,272.2607360839844,269.30854430065096,268.03857599856497,271.03394012451173,281.89921415248847,260.168666096535,26.27,-2.838798368869675,-1.001858584979836,-1.836939783889839
2026-01-09,258.5995368285105,259.7274461787287,255.74485516422806,258.8890075683594,39997000,270.06524047851565,272.0736938476563,268.31620746900415,267.67976939345886,270.06524047851565,281.6477122314142,258.4827687256171,27.27,-3.283472702990821,-1.4581814085820333,-1.8252912944087876
2026-01-12,258.6794199598783,260.8154357257053,256.32378048041085,259.76739501953125,45263800,269.1778900146484,271.8902587890625,267.5020348547686,267.36948020232444,269.1778900146484,281.07249391413217,257.2832861151647,29.98,-3.524374989140483,-1.8714201246937234,-1.6529548644467598
2026-01-13,258.24022168851656,261.3244878277737,257.9108470550362,260.5658874511719,45730800,268.3179870605469,271.6888897705078,266.84144938775944,267.1026726434557,268.3179870605469,280.0849807646216,256.5509933564722,32.45,-3.609254877028377,-2.218987075160654,-1.390267801867723
2026-01-14,259.0087756526009,261.33447181199796,256.23393227813756,259.4779052734375,40019400,267.611799621582,271.4863024902344,266.1401594721097,266.803662158357,267.611799621582,279.73355964742996,255.49003959573406,30.85,-3.72141570505579,-2.519472801139681,-1.201942903916109
2026-01-15,260.1666175851947,260.5559089501236,256.5732877053955,257.73114013671875,39388600,266.79331970214844,271.27510620117187,265.3393004877868,266.44787698103784,266.79331970214844,279.275508952422,254.31113045187487,28.44,-3.9062247897152247,-2.79682319885479,-1.1094015908604349
2026-01-16,257.4217372195352,258.41988279267105,254.45724364888233,255.05613708496094,72142800,265.9793327331543,270.9906649780273,264.3599515922796,266.00114208315244,265.9793327331543,279.3087550241961,252.6499104421125,25.18,-4.219893406728545,-3.081437240429541,-1.138456166299004
2026-01-20,252.26132447540706,254.31750190322293,242.9685916985444,246.2425079345703,80267500,264.7071960449219,270.52795654296875,262.63448076773585,265.22629368516886,264.7071960449219,280.3920351165688,249.02235697327498,17.91,-5.120636746508296,-3.4892771416452923,-1.631359604863004
2026-01-21,248.23880604127606,251.09350304772093,244.72532928784554,247.1907501220703,54641700,263.4086082458496,270.09159271240236,261.16364927767245,264.51901746700815,263.4086082458496,280.39265242040045,246.42456407129876,20.57,-5.692349254210285,-3.929891564158291,-1.7624576900519937
2026-01-22,248.737864640942,250.53452965267718,247.68980878155546,247.8894500732422,39708300,262.2797058105469,269.69512939453125,259.89943982963143,263.86687756921344,262.2797058105469,280.2604104635575,244.2990011575363,22.56,-6.019665333892334,-4.3478463181051,-1.671819015787234
2026-01-23,246.86136630134166,248.94748685874615,244.22624741136653,247.58001708984375,41689000,261.0659606933594,269.26812255859375,258.72616147346116,263.2281771582578,261.0659606933594,279.5940892522941,242.5378321344247,22.29,-6.232193493756,-4.72471575323528,-1.50747774052072
2026-01-26,251.01363570547153,256.08421686766076,249.336758511775,254.9363555908203,55969200,260.1476676940918,268.8720584106445,258.3652275798763,262.90300768502493,260.1476676940918,277.9277022510046,242.367633137179,40.33,-5.740851590508498,-4.927942920689924,-0.8129086698185741
