Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,RSI_14
2025-10-17,505.8364332653001,512.235876086287,504.1173098719632,510.3478698730469,19867800,512.4877868652344,508.7548809814453,49.19
2025-10-20,511.37132460679527,515.4356111738924,510.19875812962454,513.53759765625,14665600,512.6040466308593,508.6675701904297,52.61
2025-10-21,514.2431942660954,515.4257076122852,509.81124074780416,514.4021606445312,15586200,513.0228912353516,508.6029071044922,53.52
2025-10-22,517.870184130928,521.9244631183706,514.4518312300626,517.2639770507812,18962700,513.5391189575196,508.4472637939453,56.51
2025-10-23,519.1720024577996,520.6526156742948,515.3461954332505,517.283935546875,14023500,514.2113616943359,508.46384582519534,56.53
2025-10-24,519.499850577073,522.0437370421222,517.4329845218087,520.314697265625,15532400,514.8150390625,508.50334533691404,59.71
2025-10-27,528.4333612309177,531.2157277722118,525.6807743511338,528.1749877929688,18734700,515.6557189941407,508.7458843994141,66.54
2025-10-28,546.5385938392855,550.2351530342114,537.3667019364588,538.6585083007812,29986700,516.8541259765625,509.25900695800783,73.09
2025-10-29,541.5104645203966,542.8321112501552,533.3521116884923,538.1417846679688,36023000,517.9392517089843,509.9072344970703,72.34
2025-10-30,527.1414377363435,531.6031704966998,518.8340654321457,522.451171875,41023100,518.4371002197265,510.32200622558594,54.13
2025-10-31,525.5515477587454,525.9887810857076,511.85824179468614,514.5512084960938,34006400,518.4599578857421,510.5916986083984,47.63
2025-11-03,516.5385956979154,521.6562086548496,511.3514766558802,513.776123046875,22374700,517.886587524414,510.7864642333984,47.03
2025-11-04,508.53933673798264,512.3054631947169,504.64399323613884,511.0931701660156,20958700,517.4071273803711,510.9865972900391,44.93
2025-11-05,510.0695738143288,511.58997398954807,503.39186440425516,503.9682312011719,23024300,516.5281951904296,511.0883520507812,39.84
2025-11-06,502.47768369906356,502.51744045426454,492.6896676102462,493.9715576171875,27406500,515.2711547851562,510.8967651367187,34.02
2025-11-07,493.8225155697467,496.2372153715257,490.1457889557352,493.6933288574219,24019800,514.5686050415039,510.64197814941406,33.88
2025-11-10,496.8930687697553,503.66020845333964,495.66085193460816,502.8155517578125,26101500,514.1686370849609,510.6282647705078,42.7
2025-11-11,501.6230817360039,506.39289163210333,499.18851875070465,505.4786682128906,17980000,513.9256774902344,510.69901672363284,45.0
2025-11-12,506.1543908722183,508.4498810705414,495.9788447581273,507.9232177734375,26574900,513.811898803711,510.8140881347656,47.11
2025-11-13,507.098398329558,510.26832472026865,498.1351759673349,500.1225891113281,25273100,513.3985168457032,510.72107666015626,41.63
2025-11-14,495.0944921195485,508.3803456334317,494.30945534799014,506.9692687988281,28505700,513.2295867919922,511.02276611328125,47.41
2025-11-17,505.2501533046029,508.8970396915909,501.73242330739504,504.2961730957031,19092800,512.7675155639648,511.20739685058595,45.51
2025-11-18,492.2524466910109,499.8145698875434,483.71651040889276,490.6824035644531,33815100,511.58152770996094,511.11557861328123,37.33
2025-11-19,487.0156390818261,492.0736023312663,479.79137227085766,484.05438232421875,23245300,509.9210479736328,510.85224670410156,34.12
2025-11-20,490.5255566668064,491.3817596467919,473.39186588492817,476.3088684082031,26802500,507.8722946166992,510.42128479003907,30.78
2025-11-21,476.3785437287191,476.796695003642,466.19388806310616,470.0268249511719,31769200,505.35790100097654,509.6880010986328,28.36
2025-11-24,472.8940955697233,474.7856658755464,465.9450303435204,471.8985290527344,34421000,502.54407806396483,508.8836389160156,30.12
2025-11-25,471.9681767111092,477.0256407210385,462.82888433135173,474.8752136230469,28019800,499.35491333007815,508.26441467285156,32.95
2025-11-26,484.1539100429923,486.14504291080743,479.06658014921754,483.3475036621094,25709100,496.61519927978514,507.7951599121094,40.35
2025-11-28,485.4382224868377,490.44592067381114,484.49242217644115,489.82867431640625,14386700,494.9840744018555,507.4867303466797,45.32
2025-12-01,486.27447583839387,487.68816317334665,482.5012705124726,484.5820007324219,23964000,493.48561401367186,506.8849609375,42.25
2025-12-02,484.56211884124775,491.312058367048,484.16389832530854,487.82757568359375,19562700,492.1881866455078,506.4172644042969,44.75
2025-12-03,474.2082166599713,482.09308589504883,473.0931871020635,475.6119689941406,34615100,490.41412658691405,505.80899841308593,38.08
2025-12-04,477.6329620200481,479.186043226252,474.3774403367437,478.7081604003906,22318200,489.151123046875,505.2443731689453,40.5
2025-12-05,480.3807061976695,481.2568095233099,476.7568601661199,481.01788330078125,22608700,488.50343933105466,504.78794921875,42.31
2025-12-08,482.74025101921535,490.11737199051475,482.2325023858298,488.8430480957031,21965900,488.26092529296875,504.39998718261717,48.08
2025-12-09,486.93155551686203,489.93815525049575,486.33420957194573,489.8385925292969,14696100,487.612077331543,503.96953125,48.78
2025-12-10,481.88401246545567,482.10303829287767,472.973680864489,476.4382629394531,35756200,486.1600570678711,503.20448913574216,40.79
2025-12-11,474.51683677020293,483.8751552220924,473.750231167373,481.3265075683594,24669200,484.83022155761716,502.5022338867187,44.37
2025-12-12,477.69270598810584,480.31105063829824,474.22812377070755,476.4084167480469,21248100,483.64451293945314,501.78051818847655,41.64
2025-12-15,477.97146396596463,478.588710310573,470.42505317808707,472.7148742675781,23727700,481.9317932128906,500.9529345703125,39.67
2025-12-16,469.8177748762136,475.7712732838117,468.79234263095657,474.2779235839844,20705600,480.4308807373047,499.9336224365234,40.95
2025-12-17,474.79560024235434,477.8718969329872,472.8940646732686,474.00909423828125,24527200,479.5972152709961,499.0001568603516,40.79
2025-12-18,476.06992080908344,487.4293375934554,475.7712630284666,481.8342590332031,28573500,479.4862091064453,498.2059045410156,47.23
2025-12-19,485.1992432324443,485.68709144559693,480.35083955461556,483.7656555175781,70836100,479.8590484619141,497.49897033691406,48.72
2025-12-22,483.9647726311972,486.5632169440421,480.5499868948874,482.7701110839844,16963000,480.4962127685547,496.9994860839844,47.97
2025-12-23,482.829854335465,485.66719456773416,482.5908977144131,484.6915588378906,14683600,481.1358642578125,496.4770190429688,49.58
2025-12-24,483.5267014178325,486.99128356758627,482.680463867149,485.8563232421875,5855900,481.6849197387695,495.98738830566407,50.58
2025-12-26,484.5521629916047,485.95591540329985,483.8054881161676,485.5477294921875,8842200,481.79493103027346,495.4943670654297,50.29
2025-12-29,482.71034015280554,486.1848877649252,482.0333622504328,484.9404296875,10893400,481.55051879882814,495.02537109375,49.7
2025-12-30,483.77560983811236,487.5089841188462,483.3475235456682,485.3187561035156,13944500,481.5873565673828,494.52478881835935,50.09
2025-12-31,485.6771523949816,485.97584057107747,481.15727202744546,481.4758605957031,15601600,481.26977081298827,493.88355407714846,46.14
2026-01-02,482.24244872265706,482.5112407273309,468.07552715971417,470.84320068359375,25571600,481.0313323974609,493.0123748779297,37.35
2026-01-05,471.95822796941724,473.95932625248497,467.41844739653146,470.75360107421875,25250300,480.6336044311523,492.08216735839846,37.29
2026-01-06,471.69937935780575,476.617480129593,467.6673473241013,476.3885192871094,23037700,480.4021362304687,491.26425903320313,43.85
2026-01-07,477.63296458601815,487.5288974221053,475.83099176167434,481.3265075683594,25564200,480.02630920410155,490.4844952392578,48.9
2026-01-08,479.10639276886474,480.5201105081445,473.7502403609407,475.9902648925781,18162600,479.3338928222656,489.44080078125,44.27
2026-01-09,471.9582322108041,477.6927047258898,470.106493184136,477.15509033203125,18491000,479.3697341918945,488.210732421875,45.48
2026-01-12,474.5566738594685,478.85749783991434,473.57104241242143,475.06439208984375,23519900,479.05662841796874,486.9491845703125,43.64
2026-01-13,472.57548334410274,473.6706125344443,463.88420753037366,468.5832824707031,28545800,478.6653717041016,485.87182678222655,38.46
2026-01-14,464.3919508718589,466.12425727832346,455.14315976714454,457.3433532714844,28184300,477.89679565429685,484.72766967773435,31.47
2026-01-15,462.06232415810086,462.191752665677,453.8787662235596,454.6354064941406,23225800,476.9146697998047,483.5448553466797,30.06
2026-01-16,455.8001987238622,461.13645097900303,454.4562082505655,457.8211975097656,34246700,476.1052749633789,482.4794158935547,33.83
2026-01-20,449.2194951600843,454.77474258752966,447.28809381488645,452.5048522949219,26130000,474.63880462646483,481.4501483154297,30.84
2026-01-21,450.5933708341933,450.6829681667298,436.73507280530305,442.1409912109375,37980500,472.5575714111328,480.41353698730467,26.02
2026-01-22,445.6354487179439,450.8323067932568,442.7284117030413,449.1398620605469,25349400,470.8760589599609,479.5224676513672,33.57
2026-01-23,449.8665935761158,469.01134678020316,448.5325382185013,463.8841857910156,38000200,469.8356903076172,478.74384033203125,46.07
2026-01-26,463.2470104625561,472.14737672642065,459.9516880286902,468.1949768066406,29291200,468.95262298583987,477.99816650390625,49.09
2026-01-27,471.59986874099184,480.72919663912324,471.06225431764057,478.4493408203125,29213900,468.5977035522461,477.40868896484375,55.47
2026-01-28,481.0676409982362,481.59528998521284,475.8807484603396,479.4946594238281,36875400,468.3254150390625,476.9961303710937,56.08
2026-01-29,438.0392806211351,440.5381621786467,419.1533835040837,431.57806396484375,128855300,465.6383804321289,475.4883062744141,33.58
2026-01-30,437.2229285851671,437.65101486434605,424.55932220203715,428.3822937011719,58566800,462.9837020874023,473.97002868652345,32.64
2026-02-02,428.33251789753194,428.8303011436502,420.37795134689077,421.49298095703125,42219900,460.51619110107424,472.586240234375,30.64
2026-02-03,420.1390072256922,420.178808008447,406.7486263222299,409.3868713378906,61424100,457.44785461425784,471.09289001464845,27.47
2026-02-04,409.17783910585314,417.93881231579195,407.4256323109538,412.35369873046875,45012400,454.2461135864258,469.81378662109375,29.4
2026-02-05,405.6335909812077,406.4897635323938,390.5806313349955,391.9246520996094,66289200,449.7760208129883,468.2517431640625,24.56
2026-02-06,397.4002746193236,400.0086538663787,391.17798428483076,399.3615417480469,53515300,445.94458465576173,466.80100341796873,29.13
2026-02-09,403.0550898097971,413.05058563481117,399.0927243377603,411.76629638671875,45480500,442.6751449584961,465.5388250732422,36.1
2026-02-10,417.75959730190846,421.80159473973595,410.8702943432265,411.437744140625,44857900,439.49381256103516,464.1006298828125,36.0
2026-02-11,414.33481566901673,414.61357304478975,399.2320904458023,402.5771789550781,42491000,436.1935073852539,462.35559997558596,33.3
2026-02-12,403.20440420967,404.3990960787573,396.24540458526855,400.05841064453125,40802400,433.3292602539062,460.6651281738281,32.55
2026-02-13,402.65686886295305,403.7420326637702,396.2852191820681,399.5407409667969,34091600,430.57452697753905,458.8993914794922,32.39
2026-02-17,397.45004705087115,398.7442713079252,392.78083787972264,395.1004943847656,32078800,427.43849182128906,457.2891619873047,30.97
2026-02-18,396.3648548030424,400.77520665339193,394.56288205367116,397.8283386230469,23223400,424.7046661376953,455.6715655517578,32.91
2026-02-19,399.82403795970674,403.55594539020564,395.8127368785549,397.5988464355469,28234000,422.4775588989258,454.0031848144531,32.83
